codParlamentario,nombre,fecha_declaracion,url_pdf_bienes
109,Óscar Clavell López,04/08/2023,https://www.congreso.es/docbienes/leg15/000103/000103_000_e_0000436_20230804.pdf
109,Óscar Clavell López,02/02/2026,https://www.congreso.es/docbienes/leg15/000103/000103_001_e_0096608_20260202.pdf
110,Marc Lamuà Estañol,04/08/2023,https://www.congreso.es/docbienes/leg15/000102/000102_000_e_0000432_20230804.pdf
111,Blanca Cercas Mena,04/08/2023,https://www.congreso.es/docbienes/leg15/000106/000106_000_e_0000451_20230804.pdf
112,Rafaela Romero Pozo,04/08/2023,https://www.congreso.es/docbienes/leg15/000107/000107_000_e_0000454_20230804.pdf
113,María Luisa García Gurrutxaga,16/08/2023,https://www.congreso.es/docbienes/leg15/000292/000292_000_e_0001216_20230816.pdf
115,Javier José Folch Blanc,04/08/2023,https://www.congreso.es/docbienes/leg15/000108/000108_000_e_0000460_20230804.pdf
116,Elisa Garrido Jiménez,04/08/2023,https://www.congreso.es/docbienes/leg15/000105/000105_000_e_0000448_20230804.pdf
117,Ignacio Gil Lázaro,04/08/2023,https://www.congreso.es/docbienes/leg15/000110/000110_000_e_0000467_20230804.pdf
118,José Antonio Bermúdez de Castro Fernández,04/08/2023,https://www.congreso.es/docbienes/leg15/000109/000109_000_e_0000464_20230804.pdf
118,José Antonio Bermúdez de Castro Fernández,11/12/2024,https://www.congreso.es/docbienes/leg15/000109/000109_001_e_0051369_20241211.pdf
119,Violante Tomás Olivares,04/08/2023,https://www.congreso.es/docbienes/leg15/000111/000111_000_e_0000471_20230804.pdf
119,Violante Tomás Olivares,16/09/2025,https://www.congreso.es/docbienes/leg15/000111/000111_001_e_0079969_20250916.pdf
120,Patxi López Álvarez,17/08/2023,https://www.congreso.es/docbienes/leg15/000344/000344_000_e_0001454_20230817.pdf
121,Jacobo González-Robatto Perote,04/08/2023,https://www.congreso.es/docbienes/leg15/000112/000112_000_e_0000476_20230804.pdf
122,Rafael Cofiño Fernández,16/08/2023,https://www.congreso.es/docbienes/leg15/000114/000114_000_e_0001215_20230816.pdf
124,Emilio Jesús Del Valle Rodríguez,07/08/2023,https://www.congreso.es/docbienes/leg15/000115/000115_000_e_0000495_20230807.pdf
125,Enrique Fernando Santiago Romero,07/08/2023,https://www.congreso.es/docbienes/leg15/000116/000116_000_e_0000506_20230807.pdf
128,José Antonio Rodríguez Salas,07/08/2023,https://www.congreso.es/docbienes/leg15/000120/000120_000_e_0000518_20230807.pdf
129,Modesto Pose Mesura,07/08/2023,https://www.congreso.es/docbienes/leg15/000121/000121_000_e_0000519_20230807.pdf
130,Herminio Rufino Sancho Íñiguez,07/08/2023,https://www.congreso.es/docbienes/leg15/000122/000122_000_e_0000521_20230807.pdf
130,Herminio Rufino Sancho Íñiguez,28/07/2025,https://www.congreso.es/docbienes/leg15/000122/000122_001_e_0076755_20250728.pdf
130,Herminio Rufino Sancho Íñiguez,04/06/2026,https://www.congreso.es/docbienes/leg15/000122/000122_001_e_0117759_20260604.pdf
131,Juan Diego Requena Ruiz,07/08/2023,https://www.congreso.es/docbienes/leg15/000119/000119_000_e_0000516_20230807.pdf
132,Joan Mesquida Mayans,07/08/2023,https://www.congreso.es/docbienes/leg15/000127/000127_000_e_0000547_20230807.pdf
133,Ada Santana Aguilera,07/08/2023,https://www.congreso.es/docbienes/leg15/000125/000125_000_e_0000543_20230807.pdf
134,Alicia Álvarez González,07/08/2023,https://www.congreso.es/docbienes/leg15/000124/000124_000_e_0000540_20230807.pdf
136,Cristina Agüera Gago,07/08/2023,https://www.congreso.es/docbienes/leg15/000132/000132_000_e_0000562_20230807.pdf
136,Cristina Agüera Gago,29/05/2024,https://www.congreso.es/docbienes/leg15/000132/000132_001_e_0027319_20240529.pdf
